순위,제목,가수,가사
21,사이렌,호미들,"울려댔어 사이렌
텅 빈 길거린엔
도망치다 흘린 칼자루와 피가 흥건해
우리 그때 어릴땐
뭘 몰랐었지 man
그냥 힘쎈 형이
제일로 멋졌었지 그땐
그래 우린 살아나왔어 지옥
이제 어딜가든 다 비옥
수도 없이 맛본 치욕
어릴때부터 입에 붙은 쌍욕
절대 할 수 없었지 신고
할 수 있는게 오직 기도
어떻게 느끼겠어 피곤
붉게 물들지 않을려 내 흰옷
아무 방법이 없어 no way
돈만 준다면 해 노예
내 믿음이 바뀌기 전에
주변이 다 바뀌길 원해
아직 죽지마 ma bro
달려왔어 짓밟고
상처투성이된 몸
씻기엔 피가 물든 손
빈속에 피워대기엔 뻑뻑해
눈뜨고 나니 전봇대
일을 해도 don't payback
가난한게 make me 죄인
닥쳐 you know ma pain
편히자 now we safe
벌어들여 다 stack my chips
남들앞에 마침내
울려댔어 사이렌
텅 빈 길거린엔
도망치다 흘린 칼자루와 피가 흥건해
우리 그때 어릴땐
뭘 몰랐었지 man
그냥 힘쎈 형이
제일로 멋졌었지 그땐
그래 우린 살아나왔어 지옥
이제 어딜가든 다 비옥
수도 없이 맛본 치욕
어릴때부터 입에 붙은 쌍욕
절대 할 수 없었지 신고
할 수 있는게 오직 기도
어떻게 느끼겠어 피곤
붉게 물들지 않을려 내 흰옷
진흙탕에서 STARTED
바닥에서부터 클라이밍
닥치는대로 다 TRY SHIT
돈을 원했어 단지
성공을 할수 있다면
고민 없이 걸어 내 모가지
이젠 눈물없이 보지 못하겠어
내 어릴적 사진
엄마 내가 돈 못벌면 파 호적
차라리 죽는게 나으니
얼른 가난을 졸업하고말꺼야
난 반드시 변하지않아 나의 목적
평생 한길만 팠으니
멈추지않아 나의 도전
난 잃을께 없는 하층민
나의 친구들의 눈엔
아직 슬픔이 담긴 흰자
내 친구들을 꼰지를
빠엔 앉아 전기의자
어릴적에 생긴 상처들을 다
명품옷으로 위장
내가 죽는 한이 있더라도
절대 잃지않아 희망
울려댔어 사이렌
텅 빈 길거린엔
도망치다 흘린 칼자루와 피가 흥건해
우리 그때 어릴땐
뭘 몰랐었지 man
그냥 힘쎈 형이
제일로 멋졌었지 그땐
그래 우린 살아나왔어 지옥
이제 어딜가든 다 비옥
수도 없이 맛본 치욕
어릴때부터 입에 붙은 쌍욕
절대 할 수 없었지 신고
할 수 있는게 오직 기도
어떻게 느끼겠어 피곤
붉게 물들지 않을려 내 흰옷"
22,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),스윙스,"나는 입이 너무 가벼워
하고 싶은 말 못 하면 얼굴 가려워
어릴 때부터 날 쫓아오는 trouble
어쩔 수 없나 봐 이게 그냥 나거든
내가 노력 안 한 것도 아니야
교회도 나갔지만 아버진 전직 목자
하드에 저장됐어 Bible
날 누르면 꼭 터져
자책으로 시간 낭비했어
속박하지 마 뒤로 가 어서
모난 돌이 정을 맞지
부모 선생 형들 사회
날 패도 여전히 cocky
서른 넘어도 이러는데 어떡해
악플 받기 1등 연예인 해도
난 못 변해
코쿤 팔로 형이 말해
이제 좋게 해보자
아직 모르겠어 그게
대체 무슨 말이야
사랑해달라 부탁하고
싶지만 괜찮아
봐봐 시청률을 담당하는
애는 누굴까 I'm sorry
Yea 여기 모였다고 villain
오늘도 저지르지 나쁜 짓을
It’s time for the show
우린 뭣 같은 villain
조금 더 more 사랑 받고 싶어
손가락질 받는 yeah
여기 모였다고 villain
오늘도 저지르지 나쁜 짓을
It’s time for the show
But you’ll gonna
addicted to me now
너도 모르게 쉿
I’m back 우리 동생
300명이 diss 멀쩡해 우리 동생
날조범은 걔 난 전봇대 우리 동생
일 봐도 머리에는 안 닿네 우리 동생
나는 센 척 아니라 그냥 세 우리 동생
랩은 좀 하냐고 그래 꽤 우리 동생
누가 나를 이겨 꿈 깨 우리 동생
아직도 배고프니
네 네 우리 동생 네네
나보다 멘탈 좋은 연예인이 있을까
여긴 내 고문장
근데 제 발로 돌아왔어
나는 rap 이병헌 나는 Hip JYP
누구는 싫어해도
항상 되찾지 내 자리
가짜로 사랑받을 바에
나로 살고 악당 할래
대신 돈은 놔둬 챙길게 당당하게
Real 한 게 궁금하면
내 14년을 봐
얻을 게 없는 game이라며
지금은 어때 맞아
Yea 여기 모였다고 villain
오늘도 저지르지 나쁜 짓을
It’s time for the show
우린 뭣 같은 villain
조금 더 more 사랑 받고 싶어
손가락질 받는 yeah
여기 모였다고 villain
오늘도 저지르지 나쁜 짓을
It’s time for the show
But you’ll gonna
addicted to me now
너도 모르게 쉿
싸가지 없게 생긴 face
난 얼굴값을 해
자기 또 눈물 콧물 짤 거면서
내 빨간 맛을 택
난 안티보다 팬
적보단 편이 더 많아 다행히도
내 이름 뜻 알잖아
힙합씬의 악역 도미니코
성악설을 믿기에
그렇게 a.k.a을 지어
나는 진심으로 내가
제일 잘 되기를 빌어
이 이기심에 질려
떠나지 나를 결국엔 다들
돈 문젠 1도 없는데
내 문제만 99개야
갖고픈 걸 아무리 다 가져도
마음은 우울하지
아주 비싼 시세일 때
난 가끔 미움을 사지
내 selfie는 곧 나의 mugshot
영화 속에 명대사도
대부분 악당들의 몫이야
악역도 나름 사연이 다 있다고
나의 가족과
사랑을 지키기 위해서라고 해도
과연 좋게 봐줄까
난 나밖에 모르겠어
영원히 이럴 놈이야
과거가 밥 안 맥여주니까
let's leave it all behind
이렇게 한 트랙 위에
서 있다해도 스윙스와
난 다시 예전처럼 돌아갈 수 없지
근데 the reason why
I do this shit
걍 돈 되니까 하는 거지 뭐
옛 정 땜에 한다 했다면
그건 존나 거짓말
난 필요악이야
날 싫어한다 해도
넌 계속 다 보고 있잖아
날 미워하지만
난 뒤로 가지 않네
절대로 그건 더 비참해
착한 척하는 놈들보다
훨씬 낫지 be honest
솔직한 게 죄라면
난 하나도 안 미안해
알고 있어 넌 아직도
내가 망하길 바라
원래 나쁜 놈들이
더 잘 먹고 잘 살지 않니 yay
Yea 여기 모였다고 villain
오늘도 저지르지 나쁜 짓을
It’s time for the show
우린 뭣 같은 villain
조금 더 more 사랑 받고 싶어
손가락질 받는 yeah
여기 모였다고 villain
오늘도 저지르지 나쁜 짓을
It’s time for the show
But you’ll gonna
addicted to me now
너도 모르게 쉿"
23,Beautiful (Feat. Skinny Brown),ASH ISLAND,"Baby it was beautiful
또 하나의 Love is gone
Everyone is acting dumb
나라도 웃어볼게 Smile
겨울이 가도 봄이 오지
꽃은 졌다가 다시 Up
Okay okay
Nobodys falling down
I love u everybody
Get home safe gang gang
너도 좋은 곳에서 편히 쉬길 바래 이젠
너의 향기가 남아서
Feeling really bad bad
공감도 못 할 일이었지 When i was 18
비로소 피어날 준비가 된
너라는 꽃은 피었고
모두가 울 때 나는 웃어줄 거야 꼭
내가 받은 게 좀 많어 넌 모르겠지 아마도
걱정 마 내가 그 꽃잎으로 남아있어
같이 길을 걷자 양쪽엔 하얀 Rose
그 뒤를 따라갈 게 어디던 너가 가던 곳
Baby it was beautiful
또 하나의 Love is gone
Everyone is acting dumb
나라도 웃어볼게 Smile
겨울이 가도 봄이 오지
꽃은 졌다가 다시 Up
Okay okay
Nobodys falling down
해가 내리쬐고 바닥에는 White rose
Why everybody's
talkin bout the sorrow
내가 너의 자릴 빛나게 둘 게
So hold on
I see u shining like star
Oh that's the place u born
No one can replace u
No one can do it like u
짙게 향이 밴 듯이
남아 있어 내 눈엔
너의 흔적들이 다시 보여
찬히 따라가려 해
Baby I won't hesitate no more
Baby It's deep in my heart
The flowers bloom in my yard
더 이상 슬프지 않아
너가 여기 있잖아 Oh ah
I will miss you forever in my heart
WRLD is beautiful Wherever u are
영원할 거야 너의 마지막도
I will miss you forever in my heart
Baby it was beautiful
또 하나의 Love is gone
Everyone is acting dumb
나라도 웃어볼게 Smile
겨울이 가도 봄이 오지
꽃은 졌다가 다시 Up
Okay okay
Nobodys falling down"
24,고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM),"고독하구만
Go독 Go독 Go독 고독하구만
Go독 Go독 Go독 고독하구만
참말로 고독하구만
이젠 내 주머니는 두둑하지만 yeah
정말 참말로 고독하구만
오 이런 뭐 이런 또 이런
세상에 이런 일이 yo
똑똑똑똑 계세여 누구여
있는 거 아니깐 나와여 누구여
성공 그래 인생은 선공
작년에 등장해 두둥
앞으로 고 하기 위해서
더욱 더 독해지거라 고독
독도는 우리 땅처럼
너무나 당연한 말
Don’t talk
그놈의 똑똑한 세상과 자식들의 앞에
헛똑똑한 머쉬베놈 멋이 밴 놈
진정한 머슴애로
백만에서 이제는 천만 제조기다
3단 기어를 tic tak 박고
가방끈보다 중요한 건 바로 기립근
교대 나온 너는 뛰거라 이교대를
삼대 오백 친 너와
달에 오백 번 나
그중에 택 1을 하라 한다면
누나 고민 따위를 하덜덜 마
왜냐면 빠세
우리 진짜 고생했어 빠세
원래 인생 독고다이니깐
Oh wow beautiful my life
그동안 난 I ran for my life
빠세 우리 진짜 고생해서 빠세
원래 인생 독고다이니
고독하구만
Go독 Go독 Go독 고독하구만
Go독 Go독 Go독 고독하구만
참말로 고독하구만
이젠 내 주머니는 두둑하지만 yeah
정말 참말로 고독하구만
오 이런 뭐 이런 또 이런
세상에 이런 일이 yo
All White G-Wagon을 타고
riding around my city
이게 boss의 삶 Yng & Rich we get it
쇼미 더 머니 수퍼비와
사람들은 아직도 물어봐
진 이유에 대해서 DM
don’t do that
근데 오늘 I can’t lose
나 두번지고는 안 살아
mush가 뒤에
피해 피해 피해 이 BEE에
Go 독해서 독해진 인생의 비애
All of My Life on the mission
내가 만약 뒤로 쓰러짐 백 텀블링
앰뷸런스 부르던 철부지
예상은 역배였지만 너무 커버림
머쉬야 쳐봐 여 더블링
아 여깄습니다 더블링
이승에서 세종대왕을 벌지만
저승에선 염라대왕을 세버림
yeah we gon rob this 가요 market
VVS 거 제일 많은 새끼
하면 나지 알아 파악해
Huh Huh
yeah I started out with nothin’
맨날 따지 비싼 샴페인
Rap 엄홍길 외로히 top 위
Huh Huh
Oh wow beautiful my life
그동안 난
I ran for my life
빠세 우리 진짜 고생해서 빠세
원래 인생 독고다이니
고독하구만
Go독 Go독 Go독 고독하구만
Go독 Go독 Go독 고독하구만
참말로 고독하구만
이젠 내 주머니는 두둑하지만 yeah
정말 참말로 고독하구만
오 이런 뭐 이런 또 이런
세상에 이런 일이
안 본 사이 내 어머니 뒷바라지하다
소녀의 기억을 잃었지
내게 인생을 즐기란 아버지
표정은 고독하시지
Sing along
장례식장에서 마저 자랑거리
된 나의 옆에 영정사진 속에
웃고 계신 나의 할머니
웃긴 놈으로 내가 남는 이유
잘난 놈 못 되는 이유
평생 쪽을 팔며 사는 이유
고독하지만 난
문제야 문제
아가 내는 문제
풀 준비를 해
다음 주까지 숙제
난 지켜 hip-hop을 위해
yeah yeah yeah
이 심장도 내 yeah yeah yeah
GONZO가 내게
맡기고 떠난 걸 해내기 위해
힙합 이전에
나를 위해서
배 째라던 식에서 베테랑 됐어
허나 얻은 만큼 잃은 게 많아서
배고픔 여전히 계속
내 다이아몬드는 씬을 빛내기 위해서
근데 난 과녁판 됐어 칼이 온대도
야마 또 신념을 지켜
진정 내 편 없나 고독하구만
네 가족 요구로 없애 네 커리어
버르장머리를 재개조 21개월을
거치고 거치며
나는 또
현자로 레벨업
너 같은 애는 제대로 맛보기로
보여줘 you won’t get it 내게 내게로
지금 당장
let’s get it on
전에도 말했듯 이젠 네 자리로 돌아가
화장실 변기통
참말로 고독하구만
이젠 내 주머니는 두둑하지만 yeah
정말 참말로 고독하구만
오 이런 뭐 이런 또 이런
세상에 이런 일이 yo
고독하구만"
25,물망초 (Feat. 신용재),MC몽,"잘 지내 내 밤은 기네
할 게 없으니 살만 찌네
빈집이 되어 버린 섬에
일찍도 왔네 이 기억상실 치매
점점 다쳐버린 정신
너 말곤 마음을 닫은 등신
너란 사람 열 개를 지워도
내일이면 다시 백 개가 채워져
우리 추억을 죽이고 잠들어도
넌 무수히 많은 별이라 날 빛내줘
넌 구원이자 나의 희망
낮이고 밤이고 내 곁에만
못된 습관으로 범벅된 하루
약발도 떨어졌어 내 기도는
요샌 이런 가사
이런 노래 쓰는 놈은 없어도
나를 잊지 말아줘
나를 잊지 말아줘요 언젠가
다시 만나는 그 날까지
꽃이 다시 피는 그 날
돌아와요 나를
잊지 말아줘요
기억하니 이별 노래 그만 쓰라고
앞 좀 그만 보고 뒤 좀 돌아보라고
새도 죽은 나무엔 집을 짓지 않으니
다시 내게 와서 훈수 좀 두라고
이 바이러스보단 이별이 더 두려워
사실은 니가 날 잊을까 봐 두려워
니 말이 맞아 난 아직 어린애
길을 잃은 나에게는 빛이었었네
너의 조롱조차 그리워져서
매서운 니 눈빛도 불이었었어
추위에 떠는 나에게 따스한 온기
굶어 죽느니 매일을 욕을 먹고 살기
역시나 잠이 들면 세상은 더 변해
벼랑 끝에 서서 위험한 또 거래
내가 여기서 더 망가지기 전에
당신만이라도 제발 나를 잊지 말아줘
나를 잊지 말아줘요 언젠가
다시 만나는 그 날까지
꽃이 다시 피는 그 날
돌아와요 나를
잊지 말아줘요
꽃이 다시 피는 그 날
돌아와요 나를
잊지 말아줘요
괜찮아 이런 빌어먹을
세상은 우린 못 막을
나만이 그대만을 알어
평생 난 너를 잊지 않어
눈물이 내게 이제 마를 쯤
그대 사랑한단 말을
눈물이 쏟아지는 하늘
평생 듣고 싶던 말을
나를 잊고 살아줘
나를 잊지 말아줘
나를 잊고 살아줘
나를 잊지 말아줘
나를 잊고 살아줘
나를 잊지 말아줘
나를 잊고 살아줘
나를 잊지 말아줘"
26,Party Forever,사이먼 도미닉,"Party forever
나를 향해 쏟아지는 기대와 칭찬
기분 좋은 말만 해주려는
날 위한 이 시간
그 속에서 나는 숨이 좀 막히는 듯해
나 잠깐 방에 들어가서 쉬고 있을게
이 파티의 주인공은 나라고 하지만
너네가 더 신난 거 같아 보여
근데 일찍은 가지 마
오 난 혼자가 싫어
시끄러운 것도 물론
나 없어도 잘만 놀 거 알아
집에 가기 전엔 불러
나는 의심 한가득이야 every moment
잠시도 못 참고 문에 귀를 대보면은
나도 없는데 왜 얘기해
나의 미래에 대해
왈가왈부 내 과거를
너네가 왜 이해해
하지만 이 현재를 나와 같이해주기에
툴툴대지만 내 속마음은 yeah yeah
Party forever
Party forever
Party forever
My party forever
그만 그만 입에 발린 말은
지겨우니까
자 이제 나에게 쌓인
불평불만을 감당할 시간
난 이상하게 여기서
왜 살아있음을 느껴
이런 게 내 삶을 움직이는
힘이라는 게 참 웃겨
이 파티의 주인공은 나라고 하지만
너네가 더 신난 거 같아 보여
근데 집에는 가지 마
나는 혼자는 더 싫어
시끄러운 것도 물론
봐봐 나 없이도 잘만 놀잖아
don’t leave me alone
음 쏟아져 있는 술
깨져있는 병
Sticky plastic cup
살아있는 시체들의 밤
화장실 앞 줄지 않는 줄
빨간색 암실 조명 밑에서
축하합니다
떼창하지만 모두가 불협화음
Party forever
Party forever
Party forever
My party forever
Party forever
Party forever
Party forever
My party forever
춤출 기분이 아닌데
그래도 예의상 신나는 척은 해야 해
쨌든 바쁜 시간을 내
나를 보러 와준 건데
나도 얼른 취해야 돼
방금 나한테 인사했던 누구야 쟤는
모르는 애들이 와서
꽁술 먹잖아 낼름
기분 좀 내려고
거르고 나왔는데 xan은
내 친구들은 다 어디 간 거야
나 지금 오려고 해 bad
나 빼고 모두 다
생일 맞은 것처럼 PARTAY
꼴 보기 싫네
괜히 그냥 내가 문제인 것 같애
이렇게 태어난 내가 죄야
또 내 자신을 탓해
이런 나를 알면서도 모르는 척
다들 침묵의 카르텔
그래 나 신경 쓰지 말고 편하게 놀아
억지로 위로할 필요도
없다니까는 내 눈치
안 봐도 돼 더 웃고
떠들어주는 걸로 난
이미 충분해
I just wanna party & bullshit"
27,사랑은(Feat.원슈타인),마미손,"사랑은 헷갈리게 하지않아
그게 너라면 아깝지않아
묻고싶어
듣고싶어
oh if you feel the same
사랑은 망설이게 하지않아
수많은 선택지 위에 너와 나
난 너만을
넌 나만을
남겨둬
난 눈물도 없네
공감도 잘 못해
삐뚤은 치아는 내 컴플렉스
아 F that
입 달고 살아
what the F is up with you
I know i just can't be cool
이런 내가 널 좋아한다면
그니까 내가 널 맘에 둔다면
오후 네시 좀 넘어가는 해 비출때
너와 매일 난 걷자할거야
복면 뒤집어 쓴 미친놈
발작오면 무작정 걷는 미친놈
i thought i F up my life so bad
feel like i wanna go back
to fetus or kill myself
머릿속 나쁜것들이 많아
목구멍 밑엔 아픈것들이 많아
난 어딘가 고장난 엉망진창
근데 네겐 왠지 보일 용기가 나 so
Are u mad
You look sad
but thats okay
we have each other
삐뚤빼뚤 발자국으로
Skirt 소리내며 여길 떠나자
So F the world
Run away fast as we can
So F the world
Baby run away fast as we can
사랑은 헷갈리게 하지않아
그게 너라면 아깝지않아
묻고싶어
듣고싶어
oh if you feel the same
사랑은 망설이게 하지않아
수많은 선택지 위에 너와 나
난 너만을
넌 나만을
남겨둬
내 머릿속 툭 열고 안에
있는것들을 전부
싹 다 긁어내고싶어
난 모자를 푹 눌러쓰고 있어
그래서 얼굴은 항상 그늘져있어
외로움은 딱
모자속의 무게만큼
어떤날은 다 죽여버리고 싶어 가끔
아주 아픈 새벽엔 나뿐인 한강서
악 소릴질러 가끔
복면쓴 homeless
언제나 lonely
멀리 못뛰는 두꺼비 he's ugly
what he really need is hug
But he knows he just cant be loved
세상밖 때탄 나 집으로 올때
네 세탁기 소리는 외로웠었네
냄새나던 옷에 향기가날때
난 울고싶었어 이해할수있어
내가볼땐 말야
너는 나보다 나를 잘 알아
너로 인해서 나를 다시봐
feel like i'm new
우리말야 행복해 질 수 있을것같아
매일 너를생각하면 말야
난 눈물이 고여
so are you mad you look sad
but that's okay
we gon stay together
삐뚤빼뚤한 발자국으로 skirt
소리내며 여길 떠나자
so F the world
run away fast as we can
F the world
say F the world
사랑은 헷갈리게 하지않아
그게 너라면 아깝지않아
묻고싶어
듣고싶어
oh if you feel the same
사랑은 망설이게 하지않아
수많은 선택지 위에 너와 나
난 너만을
넌 나만을
남겨둬"
28,Pretty Savage,BLACKPINK,"비슷한 것 같지 우린 뼛속까지 다름
아이 창피하다가도 멍석 깔면 바름
Born skinny bish 암만 살쪄도 난 마름
계산은 느려도 눈치는 빠름

인기를 논하자면 안 해 입만 아픔
F boys not my boys 싹둑싹둑 자름
우리 이름 틀린다면 뚜두뚜두 맞음
Drip drip ice it out bust it down top to the bottom

검은색 분홍빛이
All up in it make it lit like
Yeah we some bishes you can’t manage
또 이 어려운 걸 해내지
우린 예쁘장한 savage
We some 예쁘장한 savage

You better run run run
You better run run run

All my diamonds they yellow or bright white
Got’em blind can’t find me I’m outta sight
If you mad stay mad we not alike
S A V A G E keep it pretty pretty savage

비슷한 걸 걸쳤지만 자태부터 다름
짠 하고 나타나면 카펫부터 깔음
Black 했다 Pink 했다 내 맘대로 바꿈
네 질투가 문제야 maybe I’m the problem

검은색 분홍빛이
All up in it make it rain like
Yeah we some bishes you can’t manage
또 이 어려운 걸 해내지
우린 예쁘장한 savage
We some 예쁘장한 savage

You better run run run
You better run run run

All my diamonds they yellow or bright white
Got’em blind can’t find me I’m outta sight
If you mad stay mad we not alike
S A V A G E keep it pretty pretty savage

Pretty girl
웃어주지만 마냥 약하진 않아
And I wish you would
비바람이 불수록 더 높이 날아
I got nothin’ left to say to you
원하면 보여줄게 attitude
굳이 말 안 해도 다 알잖아 (You know)

Savage 봐도 봐도 예쁘장한
Savage so pretty pretty pretty pretty
Savage 봐도 봐도 예쁘장한
Savage so pretty pretty pretty pretty"
29,우연히 봄,"로꼬, 유주 (여자친구)","우연히 내게 오나봐
봄 향기가 보여
너도 같이 오나봐
저 멀리서 니 향기가
설레는 코끝에 나의 입술에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄
어 어느새
겨울 지나 봄이야
여전히 난 너
앞에선 돌이야
난 아직 이게
믿기지가 않지만
내 왼손은
지금까지도 너의 향기가
미묘하게 흘렀던 분위기에
아직까지 난 가까스로 숨 쉬네
무대 위완 다르게 니 눈을 피해
고개를 돌렸던
내 모습에 한숨 쉬네
오랜만에 느껴지는
이 떨림이 날 단순하게 만들어
딱 너만 아는 거리지
다 고쳤다고 생각했던 버벅임이
또 도져서 준비했던
말을 잊어버리지
난 주워 담지 못할
말은 절대 안 해
원하는 걸 말해봐
널 위해서만 할게
너 빼곤 다
색칠할 수 있어 까맣게
천천히 갈게 조금 더 가깝게
우연히 내게 오나봐
봄 향기가 보여
너도 같이 오나봐
저 멀리서 니 향기가
설레는 코끝에 나의 입술에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄
우연히 봄
어 아직까지 향기가 짙네
발걸음이 가벼워
집에 가는 길엔
더 가까워질 너와 나를
상상하는 내 모습이
오글거려 몸서리치네
어 어 머릿속이
하얘지기 때문에
하루 종일 날씨
얘기만 반복하게 돼
오로지 난 너 하나 때문에
다른 것들에겐 무감각하게 돼
정적이 만드는 긴장감은
오히려 설레어
나를 미소 짓게 만들어
모른 척 하려 했던
니 옆의 남자들은
흐릿했던 내 눈 앞에
불을 키게 만들어
겨울은 유난히도 추웠고
다시 돌아온
그토록 기다렸던 봄
움직이지 못하도록
잡고 있고 싶어
날 더 느낄 수 있게
안고 있고 싶어
우연히 내게 오나봐
봄 향기가 보여
너도 같이 오나봐
저 멀리서 니 향기가
설레는 코끝에 나의 입술에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄
I love u so I love u
너무 쉬운 걸
그래도 나 참고 있을게
난 여자이니까
하루 더 기다려
바보야 내게 말해봐
니 마음도 보여
갖고 싶다고 해봐
더 이상은 감추지 마
어느새 내 앞에 이젠 내 앞에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄"
30,그랑프리 (Feat. Beenzino),ASH ISLAND,"I got money in my pocket
이게 생각보다 Thick
걸음걸인 마치
펭귄 바진 내려가지 Lit
X ordinary outfit yeah
this is how it is
Yeah 불꽃 튀게
Speed fast 올라타지 Whip
Faster
This is how we speed
Faster
This is how we speed
Faster
This is how we speed
Faster
This is how we speed
내가 하는 얘기 잘 알아듣고
잘 배우는 놈의 속도는 Fast
그 숫자는 몇천이니 몇억이니
배우는 놈의 몫이니 Yeah
저 예술의 정답은 X 내 다리 위 X
내 henessey’s X ASH’s
X ordinary M to M
That’s Always on back
날아갈래 저위로
이 앨범이 곧 내 무덤이고
내 앞에 안개는 안 걷히더라도
내 이름은 앞에 적히죠
나의 식구 Ambition이고
내 Crew P. A. Blo 이죠
신념이 곧 걸음걸이고
주행거리 2 Million killo
편하게 일하는 새끼 살만한 새끼
빛나냐 내 길
그러면서도 바쁜 개새끼
돈 좀 벌어도 쪽 팔일 없는 내 길
바진 내려 아직 마치 펭귄
꺾지 않는 내 고집일 테니
절대 하지 않아 Beggin
그럼에도 Baby I’m the fastest
I got money in my pocket
이게 생각보다 Thick
걸음걸인 마치
펭귄 바진 내려가지 Lit
X ordinary outfit yeah
this is how it is
Yeah 불꽃 튀게
Speed fast 올라타지 Whip
Faster
This is how we speed
Faster
This is how we speed
Faster
This is how we speed
Faster
This is how we speed
먼지한테 내 차 키를 주고
난 택시 아저씨 백미러 속
기사님 Bumping Mr. Trot
내 귀는 더욱 빠르게 Spotify
Vpn이 귀찮긴 해도
더 좋은 취향을 찾는 팁
또 하나는 Apple 계정을
미국 걸 써야지
I'm paranoid as fuck
Embarrassed though
내가 도와준 곡의 비트가 또 표절
또 내 인맥의 네트워크는
골목길처럼 존나 좁혀져
오토바이 갱은 인도에
서울은 다 속도전
난 너무 느긋해서
문제지 마치 Latino처럼 Ay
Dime que paso Ay
시간을 다 써 Ay
내 테크트리는 너한텐 틀린 게 맞소
그러니 난 조언을 아끼고
에어팟 안 떨어지게 꽉 뀌고
새끼들 자랑에 코로 방귀 뀌어
애쉬야 형 지금 다 왔어
어디로 가야 돼
I got money in my pocket
이게 생각보다 Thick
걸음걸인 마치
펭귄 바진 내려가지 Lit
X ordinary outfit yeah
this is how it is
Yeah 불꽃 튀게
Speed fast 올라타지 Whip
Faster
This is how we speed
Faster
This is how we speed
Faster
This is how we speed
Faster
This is how we speed"
31,거북이 (Feat. 효린) (Remix Ver.),MC몽,"거북아 그 속도론 멀리 못 도망가
게다가 그 길은 더 멀고 험하잖아
상처가 아물고 다 나으면 떠나가
진심이야 그럼 그때 보내 줄 테니까
진통제에 물 한잔에
오늘 밤은 겨우 버티겠지
커져가는 이 빗방울은
언제일지 몰라도 그치겠지
무례한 날씨 무료한 하루
신이 있다면 나 좀 바로
더 묻지도 않을게
날 좀 데려가 줘요
마음을 둘 곳도 없고
더 갈 곳도 없는
슬픈 거북이 한 마리
상처가 많아 너 혼자서
매일 외롭게 숨는 거니
너를 지킬 수 없고
더 사랑도 없는
내 가슴 아픈 이야기
조금 늦어도 좋아
한 걸음 한 걸음 천천히
하루만 더 지나면 괜찮아질 거야
자꾸만 주문처럼 외우는 혼잣말
거북아 널 볼 때면 내 모습 같아
눈물 나 미친 듯이 계속 흘러나와
새싹이 나겠지 꽃이 보이겠지
내 눈물의 사랑은 씨앗을 꼭 품겠지
무례한 날씨 무료한 하루
신이 있다면 나 좀 바로
더 묻지도 않을게
날 좀 데려가 줘요
마음을 둘 곳도 없고
더 갈 곳도 없는
슬픈 거북이 한 마리
상처가 많아 너 혼자서
매일 외롭게 숨는 거니
너를 지킬 수 없고
더 사랑도 없는
내 가슴 아픈 이야기
조금 늦어도 좋아
한 걸음 한 걸음 천천히
행복이 별거겠니 Everything
매일을 꿈꿨겠지 Everything
행복이 별거겠니 Everything
매일을 꿈꿨겠지 Everything
마음을 둘 곳도 없고
더 갈 곳도 없는
슬픈 거북이 한 마리
제발 날 떠나지 마
상처가 많아 너 혼자서
매일 외롭게 숨는 거니
너를 지킬 수 없고
더 사랑도 없는
내 가슴 아픈 이야기
조금 늦어도 좋아
한 걸음 한 걸음 천천히"
