순위,제목,가수,가사
23,너를 만나,폴킴,"너를 만난 그 이후로
사소한 변화들에 행복해져
눈이 부시게 빛 나는 아침
너를 떠올리며 눈 뜨는 하루
식탁 위에 마주 앉아
너의 하루는 어땠는지 묻거나
나의 하루도 썩 괜찮았어
웃으며 대답해 주고 싶어
별것 아닌 일에 맘이 통할 때면
익숙해진 서로가 놀라웠어
널 사랑해
평온한 지금처럼만
영원하고 싶다고
너를 바라보다 생각했어
너를 만나 참 행복했어
나 이토록 사랑할 수 있었던 건
아직 어리고 모자란 내 맘
따뜻한 이해로 다 안아줘서
무심한 말투에 서로 아플 때면
차가워진 사이가
견딜 수 없어 미안해
불안한 지금이라도
영원하고 싶다고
너를 바라보다 생각했어
너를 만나 참 행복했어
나 이토록 사랑할 수 있었던 건
아직 어리고 모자란 내 맘
따뜻한 이해로 다 안아줘서
뜨거웠던 여름 지나
그리워질 빗소리에
하나 둘 수줍어 또 얼굴 붉히면
생각이 많아진
너의 눈에 입 맞출 테니
우리 함께 걸어가기로 해
나를 만나 너도 행복하니
못 해준 게 더 많아서 미안해
이기적이고 불안한 내가
너에게만은 잘하고 싶었어
오랫동안 나 기다려온
완벽한 사랑을 찾은 것 같아
날 잡아줘서 힘이 돼줘서
소중한 배려로 날 안아줘서
너를 만나"
24,추억은 만남보다 이별에 남아,정동하,"아득한 시간 속에 아직
우리 사랑이 남아있을까
멀어지던 그날의 너를 따라 걸어도
텅 빈 거리엔 미움만
너의 흔적을 마주칠 때마다
익숙함 속에 떠나보내던
소중했던 모든 날들은
후회로 남아
이렇게 또 내게 다가오나 봐
멍하니 혼자 남아
나도 모르게 널 그리워하다
떠오르는 네 생각에 하루를 살아
선명했던 우리의
추억은 만남보다 이별에 남아
여전히 너를 사랑하게 하나 봐
그날처럼
저녁 빛에 밤이 물들면
길게 늘어진 그림자처럼
흩어질 듯 더 커져가는 너의 모습은
아직도 내 안에 가득한가 봐
멍하니 혼자 남아
나도 모르게 널 그리워하다
떠오르는 네 생각에 하루를 살아
선명했던 우리의
추억은 만남보다 이별에 남아
여전히 너를
사랑하고 있나 봐 바보처럼
흩날리는 기억의 모든 순간마다 너를
매일 이렇게 불러본다
꼭 한 번쯤 너에게 해주고 싶었던 말
너무 사랑했다고
다시는 너를 떠나지 않겠다고
여전히 너를 사랑하고 있다고
그날 보다"
25,우리 왜 헤어져야 해,신예영,"이런 말 하기까지가 참 어려워서
그대를 보낼 준비가
되질 않아서
아프고 또 아파서
이젠 무뎌진 걸까
나의 욕심인가 봐
서운한 말을 하는 게
너무 미안했어
그토록 바라고 또
바랬던 서롤 볼 수 없을까 봐
그랬나 봐 내가
헤어지고 나서야 궁금해진 말
우리 왜 헤어져야 해
혹시 내가 잘못 한 게 있다면
한 번 더 내게 기회를 준다면
내가 더 노력할게
네가 싫어하던 행동도
다신 하지 않을게
돌아와 나를 꼭 안아줘
마음이 변한 거라면
솔직했음 해
내가 좀 구차해지면
다 잊혀질까
널 다시 외면하고
지낼 수 있을까
원래 없었던 것처럼 나 정말
나는 헤어지기 싫어
네가 너무 보고파
네가 자꾸 생각나
내게 돌아와 줘
그때 널 붙잡지 못했던
나를 용서한다면
돌아와 나를 꼭 안아줘
많이 사랑하나 봐
비참해진 나지만
이렇게라도 해서 널
다시 만날 수 있게 되면
너무 밉다고 그냥 네게 안겨서
왜 이제서야 돌아왔냐고
울고불고 소리칠 텐데
나는 헤어지기 싫어
하고 싶은 말이 많은데
혼자 두고 가지 말라고
네 손을 붙잡아도
끝을 혼자 정해버리고
왜 날 두고 떠나가
다신 보지도 않을 사람처럼
아직 헤어지기 싫어
네가 아직 좋아서
찢어질 듯 아파와
그런 말 하지 마
내가 잘못 한 게 있다면
내가 미안하다고
제발 날 떠나지 말아 줘"
26,거짓말이라도 해서 널 보고싶어,백지영,"내가 미안해
이렇게 아플 줄도 모르고
너에게 모질게도 대했던 바보야
후회에 맘을 담아 봤자
이미 끝난 걸
이제 다시는
너를 볼 수 없잖아
거짓말이라도
해서 널 보고싶어
줄게 남아있다고
억지를 부리곤
한번 더 너를 보고싶어
나 많이 구차하지만
네 맘을 돌릴 수 있다면
다시 날 사랑하게 할 수 있다면
내가 그대를 기다릴게요
어제는 하루 종일 펑펑 울었어
아직까지도 너의 온기가
내 맘을 감싸 안아서
내 맘을 왜 몰라주냐며
슬프게 울고 있던 너를
그저 바라보기만 했었던 나야
거짓말이라도
해서 널 보고싶어
줄게 남아있다고
억지를 부리곤
한번 더 너를 보고싶어
나 많이 구차하지만
네 맘을 돌릴 수 있다면
다시 날 사랑하게 할 수 있다면
내가 그대를 기다릴게요
나를 버리지마
내가 잘못했어
잠시 동안 내가 미쳤었나봐
가슴이 찢어질 듯이 아파
제발 가지마
내게 잘 지내라고 말하지마
거짓말이었어
확인받고 싶어서
사랑받고 싶어서
네 맘을 찢어놓고
이기적인 사랑을 했었나봐
내가 미친게 맞아
이제 와서 후회가 돼
그렇게 잘해줬던 너였는데
내가 그대를 놓친 거에요
나 같은 사람 만나지마요"
27,우린 어쩌다 헤어진 걸까,허각,"모두 처음이었어 설레어 잠 못 든 것
내겐 처음이었어 소리 내 울었던 것도
이미 늦었다는 걸 떠날 만했다는 걸
내가 초라해진 후에 알았어
미안한 마음 없이 또 다른 사랑하길
좋은 사람 만나려 날 스쳐간 것처럼
부디 너를 보낸 게 잘한 일이 되도록
더욱 눈부시게 웃어주기를
우린 어쩌다 헤어진 걸까
수없이 부른 이름인데
그토록 간절했었는데
나는 어쩌다 잊지 못할까
어른인 척 보냈으면서
뒤돌아 아이처럼 또 울어
바쁘다는 핑계로 널 혼자 버려두고
이해해 줄 거라고 내 멋대로 믿었어
너와 다투기 싫어 시시한 농담으로
얼버무린 거 그것도 미안해
우린 어쩌다 헤어진 걸까
수없이 부른 이름인데
그토록 간절했었는데
나는 어쩌다 잊지 못할까
어른인 척 보냈으면서
뒤돌아 아이처럼 또 울어
매일 너를 숨 가쁘게 했던 내가
나 이제는 아무것도 못해
세상을 가지고 싶어 나 욕심부렸나
너의 자랑이 되고 싶었나
우린 어쩌다 끝이 난 걸까
부족한 나를 택해주고
사소한 것에 웃었는데
이젠 어쩌다 만나지는 마
이제는 너를 웃게 하는
너만큼 좋은 사람을 만나"
28,사랑하는 당신께,폴킴,"사랑하는 당신께
하고픈 말이 있소
잠시 여기 내 옆에 앉아
내 얘기 좀 들어주오
어쩌다 우리가
이리도 가까워지게 됐는지
난 아직도 믿기질 않소
그대는 어찌 생각하오
사랑을 찾아 떠돌던 길에
잠시 머문 줄 알았건만
그대 없인 더는 그릴 수 없는
내일이 올 줄 누가 알았소
당신 돌아오기만
목놓아 기다리다
처음 만난 그날 일들이
문득 생각이 났다오
모른 척 건넨 편지에 쓰인
고민을 모를 리 없겠지만
서툰 진심 종이 가득히 담긴
나의 마음 꼭 알아주시오
내 곁에 잠든 그댈 보면
눈가에 맺히는 그 말
세상 끝에 서게 되더라도
당신을 사랑해
사랑하는 님아
하고픈 말이 있소"
29,안녕,폴킴,"안녕 이라는 말을해
짧은 시간을 뒤로 한채로
여전히 아프겠지만
하룻밤 자고 나면 사라지는 꿈처럼
너를 oh 잊게될까 두려워져
무심히 널 떠올리게 되면
불안해지는 맘 어떻게 해야하니
안녕 이제는 안녕
이 말 도저히 할 수가 없어
너로 가득찬 내 마음
겨우 내가 할 수 있는 일
너를 사랑하는 거
다시 널 만날 수 있길
아주 오래 전부터 정해진 연일지도
너밖에 모를 내가 되었던 그때가
두려워져 널 안고 있으면
자꾸 욕심이나 어쩔 수 없는걸
안녕 이제는 안녕
이 말 도저히 할 수가 없어
너로 가득찬 내 마음
겨우 내가 할 수 있는 일
너를 사랑하는 거
다시 널 만날 수 있길
굳게 닫힌 저 문이 열리면
그때는 널 다시 볼 수 있을까
잠시 스치듯 만나
운명처럼 날 꽃 피우게 해
매일 널 꿈꾸겠지만
가득 채울 그리움만큼
바라는 건 단 하나
계속 내 곁에 있어줘"
30,사랑은 지날수록 더욱 선명하게 남아,전상근,"편해지고 변해가고
자연스러운 그런 과정
시도 때도 없이 다투면서
불안해진 마음
더는 멀어지기 싫은데
말 못 했던 얘기들을
말해봐도 너의 한숨뿐
쌓여왔던 오해가 깊어져
나도 지쳤는데
너는 아무 말이 없었어
사랑은 지날수록 더욱 선명하게 남아
우리의 감정이 모자라서 그랬었나 봐
이별은 떠나볼수록
다시 깨닫게 해줘서
아름다웠던 우리가 그리운데
문득 지금 생각이 나
무슨 이유인지 모르겠어
아마도 널 사랑한 기억이
감싸고 있나 봐
너는 또 아무 말 없지만
사랑은 지날수록 더욱 선명하게 남아
우리의 감정이 모자라서 그랬었나 봐
이별은 떠나볼수록
다시 깨닫게 해줘서
아름다웠던 우리가 그리운데
끝난 인연을 난 왜 이러는지
가끔 한 번씩은 마주쳐줄래
그렇게 해줘 그렇게 하면
아주 조금은 괜찮을 거 같아
사랑은 지날수록 더욱 흩어지지 않아
좋았던 시간이 가득해서
그런 건가 봐
이별의 시린 날들은
다시 깨닫게 해줘서
아름다웠던 그때가 그리운데"
31,다시 만날까 봐 (Prod.V.O.S),이예준,"인스타로 몰래 보는 너의 하루들
누가 봐도 헤어진 티를 내
팔로우 다 끊고서
좋아요는 왜 눌렀니
참 바보 같은 사람이야
잘 먹지도 못하는 술은
왜 매일 마시고
늘 웃던 얼굴 많이 야위었어
혼자 있으면 나도 그래
술이 없으면 못 자고 많이 괴로워해
이럴 거면 우리 미친 척하고
다시 만날까 봐
다시 시작할까 봐
친구들 만나는 거 그렇게 좋아하면서
집에만 있니 더 우울하게
혼자 있으면 나도 그래
누구도 만나기 싫어 숨고만 싶은데
이럴 거면 우리 미친 척하고
다시 만날까 봐
다시 시작할까 봐
못 잊을 거야 너와 추억한
지난날들을
난 아직까지도 너무나 선명해
그렇게 선명한 만큼 지키고픈
우리 기억들이
잊혀지는 게 정말 많이 두려워
혼자 있으면 나도 그래
늘 혼자 센척했지만 많이 두려워해
이럴 거면 우리 미친 척하고
다시 만날까 봐
다시 시작할까 봐
우리 여기서 끝나면 안 돼"
32,소확행,임창정,"내가 꿈 찾아 행복 찾아 하루하루 살아가다가 만나버린 괴로웠던 순간들
이 또한 다 지나가리라 피할 수 없다면 즐겨라
퇴근길에 편의점 네 개에 만원인 캔맥주
원플원 과자 두 봉 기다릴 울 냥이 통조림 간식 하나
세상 편한 차림으로 침대 위에 걸터앉아
최신 업뎃 영상 본다 눈 호강에 입 속 가득 찬 단짠의 조화
내가 꿈 찾아 행복 찾아 하루하루 살아가다가 만나버린 괴로웠던 순간들
이 또한 다 지나가리라 즐길 수 있을 거야 너는
좁은 방에 매트 깔고 생전 처음 해 본 요가
체중계에 올라서서 어제와 같은 몸무게에 안도하며
배달 앱에 단골 식당 요리조리 찾아보고 또 조리요리 찾아보고
이런 맛에 살지 내일도 일하러 간다
내가 꿈 찾아 행복 찾아 하루하루 살아가다가 만나버린 괴로웠던 순간들
이 또한 다 지나가리라 즐길 수 있을 거야 너는
인생이 별건가요 똑같아요 열받고 힘들면 한잔하고 꿀잠 자고 그러다 웃고
내가 꿈 찾아 행복 찾아 하루하루 살아가다가 만나버린 괴로웠던 순간들
이 또한 다 지나가리라 즐길 수 있을 거야 너는
내가 꿈 찾아 행복 찾아 하루하루 살아가다 만나버린 고민들
이 또한 다 지나가리라 즐길 수 있을 거야 너는"
33,"사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),"따스해진 날에 너를 생각해
넌 뭐하고 지내 별일 없는지
그렇게 말없이 떠나가고서
요즘은 무슨 일 있는거니
나도 이제 너를 놓을 때 됐는데
그게 정말 잘 안되네
아주 가끔은 다른 사람
마음 쓰일 때도 있지만
난 거기까지야
사랑 못해 남들 쉽게 다 하는 거
너 때문에 절대 못해
그래도 멀쩡한 척 살아야지
어쩌겠어 나 이 정도 밖에
안되는 거 네가 잘 알잖아
비가 오면 나를 내려다보며
참 서럽게 우는 것만 같아서
햇살이 화창하게 좋은 날엔
내 이름 부르는 것 같아
미치겠어
나도 이제 너를 놓을 때 됐는데
그게 정말 잘 안되네
아주 가끔은 다른 사람
마음 쓰일 때도 있지만
난 거기까지야
사랑 못해 남들 쉽게 다 하는 거
너 때문에 절대 못해
그래도 멀쩡한 척 살아야지
어쩌겠어 나 이 정도 밖에
안되는 거 네가 잘 알잖아
얼마나 더 버텨야
살아갈 수가 있어
이를 악물고 견뎌보려 해봐도
자꾸 기운이 빠져
안되겠다 용기 내서 오늘 밤
너에게 갈게"
34,처음처럼,엠씨더맥스 (M.C the MAX),"눈이 부시게 웃던 널 기억해
이제는 다시 볼 수 없게 됐지만
끝내 붙잡았던 기억들만
이 겨울을 지나간다
나지막이 들리지 않게 전하는
기다릴게 이 한마디 대신
피고 진다 뜨겁게 시린 우리 사랑
보내지 못한 계절처럼
피어나 단 한 번도 겨울이 없었던 것처럼
피어나 언제라도 사랑스러운 그대로
추억은 지나버린 계절에
그대로 놓아두고서
그래 처음처럼
가슴속에 켜켜이 쌓은 그리움
이 눈물로 흘려내면 그뿐
이 눈물이 그댈 피워낼 수 있다면
그걸로 나는 괜찮은걸
피어나 단 한 번도 겨울이 없었던 것처럼
피어나 언제라도 사랑스러운 그대로
스치듯 그대 곁에 맴도는
이 작은 한마디조차
여기 남겨두고
아픈 기억은 여기 남기고
피어나 우리 처음 만났던 그때 그대처럼
피어나 사랑했던 그대 모습 그대로
추억은 지나버린 계절에
그대로 놓아두고서
마치 처음처럼"
35,서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA)),윤하 (YOUNHA),"가만히 누워있길
딱 세 시간째
멍하니 그저 멍하니
자꾸 네가 생각나
환히 웃고 있는 네 사진을
보는 게 아니었는데
이별을 실감한지
딱 일주일째
가만히 그저 가만히
자꾸 네가 떠올라
잘 지낸다는 네 소식을
듣는 게 아니었는데
나 사실 너무 힘들어
잘 지내는척해도
돌아서면 혼자 남겨진
방에서 울기만 했어
애써 밝은척하는
초라한 모습이 들키기 싫어
너도 그렇게 환하게
웃고만 있는지
우리가 헤어진 지
딱 서른 밤째
우연히 그저 우연히
네가 보고 싶어서
너네 집 나무 앞을 한참 동안
빙빙 맴돌기만 하다가
그렇게 둘이 걷던
그 골목길을
쓸쓸히 그저 쓸쓸히
혼자 걸어보다가
다리에 힘이 풀려 한참 동안
주저앉아 울기만 했어
나 사실 너무 힘들어
잘 지내보려 해도
하루하루 점점 너의
빈자리만 커져가는 걸
애써 웃어 보이는
쓸쓸한 모습이 들키기 싫어
너도 나처럼 그리워하고만 있을지
나 사실 너무 힘들어
잘 참아보려 해도
돌아서면 혼자 어두운
밤마다 울고 있는 걸
애써 밝은척하는
초라한 모습이 들키기 싫어
너도 나처럼 숨죽여
울고만 있는지"
36,사랑하게 될 줄 알았어,전미도,"널 처음 사진으로 본 그날
구십구년 일월 삼십일일
그날 이후 지금 이 순간까지
나 하나만 기다려준 너를
오늘도 습관 같은 내 전화
따스히 받아 주는 너에게
세상 가장 행복한 사람으로
만들어 준 너를 너무 사랑해
사랑하게 될 줄 알았어
우리 처음 만난 그날에
시간 속에 희미해지는 사랑에
그대가 흔들린대도
그땐 내가 잡을게요 그대처럼
너무 편한 사이가 싫어서
너무 오랜 사랑 힘들어서
아픈 눈물 흘리는 널 돌아선
못된 내 마음도 기다려준 너를
사랑하게 될 줄 알았어
우리 처음 만난 그날에
시간 속에 희미해지는 사랑에
그대가 흔들린대도
그땐 내가 잡을게요 그대처럼
얼마나 힘들었을까 못난 내 눈물도
따스히 감싸준 너를
오 사랑하게 될 줄 알았어
우리 처음 만난 그날에
시간 속에 희미해지는 사랑에
그대가 흔들린대도 내가 잡을게요
아무 걱정 마요 내 손을 잡아요
처음 그날처럼 우리"
37,한잔이면 지워질까,황인욱,"한 잔이면 지워질까
취할수록 선명해져
우리 되돌릴 수 없단 거 알아
너와 자주 가던 그 술집은
달라졌을까
이젠 다시 널 볼 수가 없나 봐
한 잔이면 지워질까
몇 잔이면 잊혀질까
널 이미 다 잊었다고
혼자만 생각했나 봐
그냥 네 맘이 식었다고
우린 여기까진 거라고
그렇게 말하지 마 우리
한 잔이면 지워질까
한 잔이면 지워질까
왜 그때 난 몰랐을까
우리 되돌릴 수 없단 거 알아
그때 널 잡았다면 뭔가
달라졌을까
이제 다시 널 볼 수가 없나 봐
한 잔이면 지워질까
몇 잔이면 잊혀질까
널 이미 다 잊었다고
혼자만 생각했나 봐
그냥 네 맘이 식었다고
우린 여기까진 거라고
그렇게 말하지 마 우리
한 잔이면 지워질까
잊혀질까
두 번 다시 널 볼 수만 있다면
너를 만났던 그때처럼
돌아갈 수 있을까 나 너에게
미안해
한 잔이면 지워질까
한 잔이면 지워질까
몇 잔이면 잊혀질까
널 이미 다 잊었다고
혼자만 생각했나 봐
그냥 네 맘이 식었다고
우린 여기까진 거라고
그렇게 말하지 마 우리
한 잔이면 지워질까"
38,행복해,송하예,"기댈곳이 없어 조금은 버거운 하루
막다른 골목 길 끝에 서있는것 같아
마시기만 하던 숨은
언제쯤 내뱉어 질까
가파른 언덕 너머에서 만나게될까
행복한 날이 올까요
숨이 쉬어 지지않은데
어른인척 살아가는게
아직도 어색 하기만 한데
사랑이 내게 올까요
있는 그대로의 나를
안아줄수 있는 한사람
세상에 날믿어주는 사람
한명이면돼
그게 행복일꺼야
내내 쏟아지던 비가 그친걸아는데
나는 아직도 우산을 핀채로 살아가
그런 나에게 다가와
괜찮다고 말하는 너
이렇게 나는 두려운게 너무많은데
행복한 날이 올까요
숨이 쉬어 지지않은데
어른인척 살아가는게
아직도 어색 하기만 한데
사랑이 내게 올까요
있는 그대로의 나를
안아줄수 있는 한사람
세상에 날믿어주는 사람
한명이면돼
기댈곳이 없던 나에게 빛이 돼 준너
지나간 사랑 모두 잊혀질만큼
매일 혼자 걷던길을 같이 걷고있잖아
어른인척 살아가는게
아직도 어색 하기만 한데
사랑이 내게 올까요
있는 그대로의 나를
안아줄수 있는 한사람
세상에 날믿어주는 사람
한명이면돼
그게 행복일거야 그게 행복일거야"
39,뻔한남자,이승기,"그 날 이후 두 사람
어느 정도 예감했지
멀지 않은 우리 이별의 날을
달라지는 노력보다
그대로 흘러가길 바라는
꽤 된 낡은 사랑
누구 탓을 안 한 채
다른 얘길 꺼내 보던 배려는
아무 힘도 남아 있지 않기에 오
함께 걷던 발걸음이
어긋나기 시작했었던 그 날
이별 느낌 문득
마음이 같아서 다행일까
누구 하난 거짓 마음이었을까
붙잡지 않는 서론 섭섭하지 않아
그대로 흘러가면 이별인데
다시 못 볼 사람인데
우리 계절 끝나가는데
난 정말 자신 있었을까
추억들이 날 내버려둘 줄 안걸까
미처 깨닫지 못한 너라는 커다람에
난 지샌 밤을 배운다
다 그렇게들 떠나니
너무 걱정 말라 했던 친구
누구나 겪는 것처럼 말했었던
아니 우린 다를거야
그 때로 가서 되돌리고픈
못난 밤이 깊어
마음이 같아서 다행일까
누구 하난 거짓 마음이었을까
붙잡지 않는 서론 섭섭하지 않아
그대로 흘러가면 이별인데
다시 못 볼 사람인데
우리 계절 끝나가는데
난 정말 자신 있었을까
추억들이 날 내버려둘 줄 안걸까
미처 깨닫지 못한 너라는 커다람에
난 지샌 밤을 배운다
돌이킬 수 없다는 걸 잘 알아
반짝 지나가는 후유증이길 바래
나라고 뭐 다를까
다들 그러하듯이
뒤늦게 후회하고 그리워하고
아마도 이러다가 말거야
세상 수많은 이별 중에 하나일 뿐
사랑을 놓쳐버린 흔하디 흔한 이별
겪었던 뻔한 남자"
40,안녕 내 전부였던 너,펀치 (Punch),"안녕 안녕
이제 인사를 해야지
너와 나의 이별인데
아니 아니
나는 그게 안될것 같아
너를 보내는 일
영활보고 밥을 먹는 일도
손을 잡고 거릴 걷는 일도
앞으로는 혼자란 사실에
그게 나를 울게 만드는걸
안녕 내 전부였던 너
사랑해 너라서 난 좋았어
다신 너 같은 사람
만날수 없을거야 잘가
고마워
사실 사실
너도 많이 힘들었겠지
이별을 말하기
조금만 더 참을순 없었니
한번만 더 기횔 줄 순 없니
너에게 난 말하지 못했어
좋은 기억 마저 사라질까봐
안녕 내 전부였던 너
사랑해 너라서 난 좋았어
다신 너 같은 사람
만날수 없을거야 잘가
고마워
너무 아파서 소리도 낼 수 없어
너를 어떻게 나 잊겠니
제발 이 말만 듣고 가
진심을 다해 사랑했단 말
잊으라는 건 못해
난 그냥 이게 편해 미안
내 사랑"
41,인형,"백현 (BAEKHYUN), 도영 (DOYOUNG)","아침이 오는 소리에 난 잠이 들어요
오늘도 역시 그대
날 잊고 보냈었는지
그렇게도 쉽게 괜찮을 수 있는지
항상 변함이 없었던 그대 떠나간 게
믿을 수 없어 힘들었죠
그냥 그렇게 서로가
조금씩 잊혀 가겠죠
사랑한단 말 조차도 소용없겠죠
미안해요 이기적인 나였죠
사랑한단 이유로 내 곁에만
두려했었던 걸요
그래요 난 가장 중요한걸
모르고 있었죠
사랑한다면
그대가 언제나 행복해야죠
보고 싶겠죠 그건 어쩔 수 없겠죠
하지만 힘들진 않게 할게요
한동안 많이 아파 울다 지쳐
그대를 찾겠죠
신경 쓰지 말아요 난
잠시뿐일 테니까
괜찮아요 이대로 있을게요
당신과 상관없이
그냥 홀로 지킬 수 있는걸요
사랑해요 정말 한순간도
변함이 없어요
그대 없는 빈자리도
사랑하며 살아갈게요
보고싶겠죠 그건 어쩔 수 없겠죠
하지만 힘들진 않게 할게요
한동안 많이 아파 울다 지쳐
그대를 찾겠죠
신경 쓰지 말아요 난
잠시뿐일 테니까
Oh 그래요 난
바보 같지만
우리 지난 기억들
간직하며 홀로 지키고 있을게
한동안 많이 아파
울다 지쳐 그대를 찾겠죠
신경 쓰지 말아요
난 잠시 뿐일 이별이니까"
42,잘할게,이승기,"우우우우 우우우우우
우우우우 그게 잘 안돼 그게 잘 안돼
우우우우 우우우우우
우우우우 내게 돌아와 oh babe
술 취해 전화하면 안 되는 걸
알면서도 잘 안돼
이젠 널 놓아줘야 한다는 걸
알면서도 잘 안돼
울지 말아야지 말아야지
하면서도 잘 안돼
그게 잘 안돼 다시 돌아와 줘
잘 할게 oh babe
저녁 8시 집으로 가는 길
또 마음이 흔들려 가끔씩
지난 시간에 울컥해
혼자 술 한 잔에 또 취해
누구 없나요 내 얘기 들어줄
너무 겁나요 너 없이 모든 게
아무리 소리쳐 불러봐도
그댄 대답조차 없지만
말할 걸 말해줄걸
그댈 많이 사랑하고 있다는 걸
안개로 가득 찬 이 아침에
안을래 너를 품에 더 잘해줄게
술 취해 전화하면 안 되는 걸
알면서도 잘 안돼
이젠 널 놓아줘야 한다는 걸
알면서도 잘 안돼
울지 말아야지 말아야지
하면서도 잘 안돼
그게 잘 안돼 다시 돌아와 줘
잘 할게 oh babe
말할 걸 말해줄걸
그댈 많이 사랑하고 있다는 걸
안개로 가득 찬 이 아침에
안을래 너를 품에 더 잘해줄게
술 취해 전화하면 안 되는 걸
알면서도 잘 안돼 잘 안돼
이젠 널 놓아줘야 한다는 걸
알면서도 잘 안돼 후회가 돼
울지 말아야지 말아야지
하면서도 잘 안돼
그게 잘 안돼 다시 돌아와 줘
잘할게 oh babe
우우우우 우우우우우
우우우우 그게 잘 안돼 그게 잘 안돼
우우우우 우우우우우
우우우우 내게 돌아와 oh babe"
43,까만안경 (Feat. Day Light),"이루, Daylight","까만 안경을 써요
아주 까만 밤인데 말이죠
앞이 보이지 않아도
괜찮아요 나는 울고 싶을 뿐이죠
한 여자가 떠나요
너무나 사랑했었죠
그래요 내 여자에요
내 가슴 속에서 울고 있는 여자
사랑해요 나도 울고 있어요 오 난
보고 싶어서 만나고 싶어서
차라리 죽고만 싶어요
미안해요 잘해주지 못한 나지만
이별까지도 사랑할거에요
행복한 사람이 되어주세요
제발요
한 여자가 떠나요
너무나 사랑했었죠
그래요 내 여자에요
내 가슴 속에서 울고 있는 여자
사랑해요 나도 울고 있어요 오 난
보고 싶어서 만나고 싶어서
차라리 죽고만 싶어요
미안해요 잘해주지 못한 나지만
이별까지도 사랑할거에요
행복한 사람이 되어주세요
사랑해요 나도 울고 있어요 난
보고 싶어서 만나고 싶어서
차라리 죽고만 싶어요
미안해요 잘해주지 못한 나지만
이별까지도 사랑할거에요
행복한 사람이 되어주세요
제발요"
44,그댈 새겨두어요 (바른연애 길잡이 X 린),린,"그댈 바라보아요
머무는 표정에
이 마음 모두 들켜버린대도
시간이 더디게만 흐르면 좋을 텐데
그대와 걷는 이 걸음이 조급하지 않게
이 길 위에 우리 흔적을 남겨줘요
모든 걸 그대와 나누고 싶어요
이 까만 밤은 그대 미소로 빛나고 있죠
그대만의 얘기는 내 밤을
더욱 특별하게 해요
오래도록 바래지 않을 마음을 써봐요
우리의 이야기가 영원하도록
그댈 새겨두어요
낮과 밤의 경계가 희미해질 만큼
찰나 같기만 한 순간이 아쉬워져도
우리 둘만의 시간이 쌓여 가요
수많은 계절 속에 스며들어
이 까만 밤은 그대 미소로 빛나고 있죠
그대만의 얘기는 내 밤을
더욱 특별하게 해요
오래도록 바래지 않을 마음을 써봐요
우리의 이야기가 영원하도록
그댈 새겨두어요
내내 멈춰있던 나의 두 눈이
그대 숨으로 움직이고
그 온기는 마음을 녹이죠
이 까만 밤은 우리 미소로 빛나고 있죠
더해질 시간들에 그댄
새로운 의미가 되겠죠
이 소소한 이야기들이 끝나지 않기를
지금처럼 내 곁에 있어줄 그대
그댈 새겨두어요"
45,"그 시간, 그 공간",허각,"어디인지 알 수 없는 길을 걸어가
운명 사랑 그 아픔에
흐릿한 저 길 끝에서
움츠리고 있는 내 모습
언젠가 다시 시간이 멈추고
나를 돌아보는 날
행복 했었다는 걸
그 시간 그 공간 아픔
그 시간 속 나
힘들었던 이 모든 날 멀리 지나가
아픈 기억 내 숨결에
한참을 내게 품었던
날아오르지 못한 꿈도
언젠가 다시 시간이 멈추고
나를 바라보는 날
넌 참 잘해왔다고
아득해진 지난날의 추억을
눈 감으면 떠올리면
내게 닿을지도 몰라
다시 그 길을 걸어가
가끔은 후회로 지쳐 버린데도
힘든 시간 또 함께했던 우리
그날엔 다시 시간이 멈추고
나를 기억하는 날
운명 사랑 그 아픔에
그 시간 그 공간 그 추억에"
46,밤편지,아이유,"이 밤 그날의 반딧불을
당신의 창 가까이 보낼게요
음 사랑한다는 말이에요
나 우리의 첫 입맞춤을 떠올려
그럼 언제든 눈을 감고
음 가장 먼 곳으로 가요
난 파도가 머물던
모래 위에 적힌 글씨처럼
그대가 멀리 사라져 버릴 것 같아
늘 그리워 그리워
여기 내 마음속에
모든 말을 다 꺼내어 줄 순 없지만
사랑한다는 말이에요
어떻게 나에게
그대란 행운이 온 걸까
지금 우리 함께 있다면 아
얼마나 좋을까요
난 파도가 머물던
모래 위에 적힌 글씨처럼
그대가 멀리 사라져 버릴 것 같아
또 그리워 더 그리워
나의 일기장 안에
모든 말을 다 꺼내어 줄 순 없지만
사랑한다는 말
이 밤 그날의 반딧불을 당신의
창 가까이 띄울게요
음 좋은 꿈 이길 바라요"
